Model,Brand,Date of Sale,Sale Price,Year,Mileage,Classification,Transmission,Fuel Type,Description,Sale Location
Audi Q3 (S line Plus),Audi,2024-05-24,"€13,461.00",2016,"99,180",SUV,Manual,Diesel,Blue Audi Q32.0 TDI S line Plus quattro Euro 6 (s/s) 5dr,Dublin
Audi Q2 (Sport),Audi,25/05/2024,"€16,546.00",2018,50677,SUV,Manual,Petrol,Audi Q2 Estate1.0 TFSI Sport 5dr,Dublin
Audi TT (TFSI),Audi,2024-05-28,"€6,831.00",2012,"82,977 miles",Coupe,Automatic,Petrol,Black Audi TT1.8 TFSI S line S Tronic Euro 5 3dr5 previous owners,Dublin
Audi A1 (TFSI),Audi,30/05/2024,"€10,607.00",2015,"38,161",Hatchback,Manual,Petrol,Grey Audi A11.0 TFSI SE Sportback Euro 6 (s/s) 5dr2 previous owners,Roscommon
Audi Q2 (TFSI),Audi,31/05/2024,"€ 21,314",2017,"13,500",SUV,Auto,Petrol,Black Audi Q21.4 TFSI CoD Sport S Tronic (s/s) 5dr2 previous owners,Dublin
Audi Q2 (TFSI),Audi,31/05/2024,"€29,278.00",2021,12675,SUV,Automatic,Petrol,Black Audi Q2S line 35 TFSI 150 PS S tronic 1.5 5dr,Dublin
Audi A3 Cabriolet (CoD),Audi,2024-06-02,"€16,220.00",2016,"47,640",Convertible,Manual,Petrol,Silver Audi A3 Cabriolet1.4 TFSI CoD S line Euro 6 (s/s) 2dr2 previous owners,Westmeath
Audi Q7 (TDI V6),Audi,03/06/2024,"€34,901.00",2017,"63,767 miles",SUV,Automatic,Diesel Plug-In Hybrid,Navy Audi Q73.0 TDI Quattro e-tron 5dr Tip Auto,Cork
Audi Q3 (TDI),Audi,04/06/2024,"€24,959.00",2017,"22,745 miles",SUV,Automatic,Diesel,Navy Audi Q3TDI QUATTRO BLACK EDITION 2.0 5dr,Wexford
Audi A3 Cabriolet (S line),Audi,05/06/2024,"€18,601.00",2017,"26,962",Convertible,Manual,Petrol,Blue Audi A3 Cabriolet1.4 TFSI S Line 2dr Satellite Navigation,Meath
Audi A1 (TDI),Audi,05/06/2024,"€6,983.00",2011,"79,974",Hatchback,Manual,Diesel,Red Audi A11.6 TDI Sport Euro 5 (s/s) 3dr,Cork
Audi A4 Avant (TDI),Audi,06/06/2024,"€30,147.00",2021,"19,173",Estate,Auto,Diesel,Red Audi A4Avant S line 35 TDI 163 PS S tronic 2.0 5dr1 previous owner,Tipperary
Audi A1 (TFSI),Audi,06/06/2024,"€12,534.00",2016,"40,747",Hatchback,Manual,Petrol,Black Audi A11.4 TFSI S line Hatchback 3dr Petrol Euro 6 (s/s) (125 ps)1 previous owner,Dublin
Audi A3 (SE Technik),Audi,07/06/2024,"€14,069.00",2017,"48,043",Hatchback,Manual,Diesel,Black Audi A32.0 TDI SE Technik Sportback Euro 6 (s/s) 5dr2 previous owners,Kilkenny
Audi A5 (TDI),Audi,2024-06-10,"€ 24,320",2019,"24,320",Coupe,Auto,Diesel,Navy Audi A52.0 TDI S LINE 2d AUTO 188 BHP Satellite Nav - Parking Sensors1 previous owner,Dublin
Audi A3 (SE Technik),Audi,11/06/2024,"€13,243.00",2017,"48,872",Hatchback,Manual,Diesel,Silver Audi A32.0 TDI SE Technik 5dr,Cork
